Sample_ID,Status
TE3963128,0
TE8623783,0
TE8266679,0
TE1992885,0
TE2674689,0
TE5677705,1
TE4980622,0
TE8898386,0
TE1489520,0
TE7350924,0
TE7876257,0
TE4290610,0
TE7673864,1
TE2244545,0
TE2936856,0
TE6347850,0
TE9012774,0
TE8223764,1
TE6423205,1
TE3805203,0
TE2659058,1
TE1126136,0
TE5733094,1
TE1068514,0
TE9199350,0
TE2366552,0
TE7729443,1
TE2873515,1
TE9991632,0
TE4905615,0
TE3219513,0
TE7558707,0
TE1069072,0
TE3053923,0
TE9506614,0
TE3587464,0
TE1086907,0
TE5973978,1
TE9283289,0
TE6080880,0
TE8265632,0
TE5638828,0
TE6729168,0
TE2222099,1
TE5718512,0
TE6332141,0
TE1704209,0
TE6481022,0
TE4983734,1
TE5358311,0
TE7445944,0
TE2413119,0
TE6741377,0
TE3982183,0
TE8466097,0
TE3016244,0
TE3941775,0
TE4064713,1
TE9850444,1
TE3369729,1
TE2677268,0
TE2970689,1
TE9422556,1
TE8866321,1
TE1579387,0
TE7314183,0
TE9617436,0
TE3634527,0
TE2898853,0
TE7590175,1
TE6365310,0
TE2255189,0
TE7356911,0
TE5210124,0
TE8944768,0
TE2773280,0
TE3346873,1
TE5366266,0
TE3595461,0
TE8779701,0
TE1481611,0
TE1181400,0
TE8979348,0
TE2305876,0
TE1571478,0
TE1912850,0
TE3853141,0
TE2351652,0
TE3934700,0
TE3877798,1
TE9501959,0
TE5104460,0
TE6587063,0
TE7056282,1
TE9380435,0
TE1285299,0
TE3032224,0
TE2887211,0
TE1060262,0
TE1917043,0
TE2418237,0
TE6801639,0
TE5582695,0
TE5716169,0
TE6547049,1
TE8673920,0
TE9678838,0
TE9531562,0
TE6302574,1
TE1912599,0
TE7780512,1
TE8279493,0
TE5367809,1
TE4572003,0
TE4648967,0
TE2133550,0
TE8499652,0
TE2606681,1
TE8738301,0
TE3307453,0
TE9808391,0
TE4202421,0
TE4688501,0
TE5705610,0
TE7749651,1
TE2174526,1
TE3765685,0
TE5689835,0
TE7089907,0
TE4471408,0
TE3984699,1
TE6058814,0
TE2845437,1
TE1724013,0
TE3484480,1
TE8113888,0
TE3091988,0
TE2640329,0
TE6188677,0
TE8895560,0
TE7167936,0
TE3201665,0
TE1849791,0
TE2740446,0
TE1157438,0
TE5194291,1
TE1533590,1
TE6604978,0
TE6799572,0
TE3857885,0
TE9691305,0
TE5002076,0
TE8429611,0
TE7034163,0
TE3402715,0
TE5918292,0
TE2049987,0
TE8655834,1
TE7147167,0
TE5147719,0
TE8546510,0
TE2762011,0
TE1813527,0
TE3350312,0
TE9010607,1
TE5948806,1
TE1537544,0
TE8914454,1
TE6200099,0
TE5274477,0
TE2866439,0
TE8498269,1
TE2392429,0
TE7789836,1
TE2193158,0
TE7353421,1
TE7471808,0
TE1744028,0
TE7984676,1
TE1708792,0
TE2818899,0
TE6294237,0
TE5754857,0
TE7725835,0
TE8520373,0
TE3086041,1
TE5369984,0
TE2356919,0
TE8734406,0
TE8906419,0
TE8711947,0
TE7976830,0
TE9876520,0
TE8220831,0
TE6445356,0
TE8791013,1
TE6695163,0
TE7597770,0
TE5969968,1
TE6373565,0
TE8604801,0
TE4678454,1
TE7625411,0
TE8642889,0
TE6351329,0
TE7218262,0
TE1733456,0
TE5351216,1
TE5657277,0
TE8520609,0
TE3409116,0
TE1088341,0
TE6071452,0
TE4185089,0
TE3476981,0
TE4638608,1
TE6869395,0
TE1063210,0
TE1894581,0
TE6364308,0
TE7814741,1
TE7878859,1
TE1227080,0
TE8541341,0
TE6922187,0
TE8007168,0
TE6060115,1
TE1984180,0
TE4898127,0
TE4933717,0
TE5414242,0
TE9444067,0
TE6617132,0
TE7039510,1
TE5216592,0
TE7317456,0
TE9896207,0
TE5234423,0
TE4590889,0
TE9119509,1
TE1720298,1
TE1572421,0
TE9473451,0
TE1693298,0
TE5468696,0
TE8965536,0
TE7831998,0
TE7576754,0
TE5606466,0
TE7447246,1
TE9203977,0
TE3033811,1
TE4525604,0
TE8812404,1
TE1964264,0
TE5421787,0
TE7818028,0
TE4836821,0
TE2069985,0
TE5616314,1
TE4857335,0
TE1554794,0
TE9567004,0
TE8642145,0
TE1582752,0
TE1010488,1
TE6481912,0
TE6618535,1
TE7220663,1
TE9650218,0
TE7394532,1
TE6762422,0
TE2796641,0
TE5424580,0
TE7344130,0
TE2241325,1
TE9749978,0
